Slice,Mean,StdDev,Min,Max
218,1831.897,13.423,1817,1903
219,1830.766,13.235,1816,1908
220,1831.015,13.522,1815,1895
221,1832.450,12.927,1817,1897
222,1832.558,13.417,1817,1914
223,1832.606,13.432,1817,1913
224,1834.414,14.002,1818,1903
225,1831.837,13.403,1817,1899
226,1830.975,13.069,1816,1897
227,1831.479,14.266,1816,1909
228,1830.825,13.680,1816,1904
229,1829.865,13.061,1815,1887
230,1830.213,13.639,1814,1906
231,1830.407,13.656,1815,1920
232,1829.512,13.616,1814,1907
233,1831.143,13.499,1816,1894
234,1829.478,13.764,1814,1895
235,1832.557,13.185,1818,1905
236,1832.027,13.356,1816,1934
237,1831.463,12.777,1816,1884
238,1833.279,12.948,1818,1905
239,1831.764,13.368,1817,1921
240,1832.150,13.379,1817,1906
241,1830.700,13.773,1815,1893
242,1830.416,13.463,1815,1895
243,1830.518,13.640,1815,1902
244,1831.080,13.416,1816,1912
245,1831.787,13.644,1817,1929
246,1827.941,12.797,1813,1903
247,1829.427,13.225,1814,1896
248,1828.804,13.687,1814,1931
249,1830.279,13.090,1816,1900
250,1832.413,14.549,1816,1916
251,1832.089,12.669,1817,1895
252,1831.760,13.259,1816,1905
253,1834.059,12.788,1819,1897
254,1830.668,12.818,1815,1891
255,1830.280,13.116,1815,1885
256,1833.320,13.841,1818,1893
257,1831.094,12.853,1816,1890
258,1832.954,13.316,1818,1907
259,1833.347,13.495,1818,1894
260,1832.736,13.244,1818,1904
261,1834.394,13.377,1819,1905
262,1833.211,13.502,1818,1906
263,1832.398,13.283,1817,1900
264,1833.640,13.088,1819,1907
265,1831.321,12.940,1816,1901
266,1831.782,13.349,1816,1911
267,1832.811,13.044,1818,1896
268,1829.850,13.145,1814,1889
269,1830.321,13.519,1815,1889
270,1830.530,13.824,1815,1904
271,1831.609,13.228,1817,1893
272,1832.318,13.268,1817,1883
273,1830.246,12.470,1815,1889
274,1829.045,13.275,1814,1890
275,1832.037,12.929,1817,1895
276,1831.316,12.892,1816,1893
277,1831.054,13.152,1816,1898
278,1830.077,12.150,1816,1894
279,1833.568,13.634,1818,1895
280,1832.849,13.645,1817,1894
281,1831.270,13.499,1816,1907
282,1830.877,13.654,1815,1891
283,1831.328,13.498,1816,1889
284,1831.579,12.757,1817,1897
285,1831.774,13.122,1817,1894
286,1832.502,14.039,1817,1903
287,1831.375,13.435,1816,1901
288,1830.762,13.726,1815,1896
289,1832.510,13.730,1817,1910
290,1833.234,12.979,1818,1903
291,1830.813,13.850,1815,1908
292,1832.464,13.163,1817,1902
293,1833.045,12.948,1818,1895
294,1832.632,13.929,1817,1914
295,1832.732,13.282,1818,1895
296,1832.141,14.005,1816,1897
297,1830.701,12.637,1816,1892
298,1833.157,13.076,1818,1906
299,1834.737,13.666,1819,1914
300,1834.393,13.201,1819,1895
301,1833.374,13.561,1818,1897
302,1834.889,13.366,1819,1890
303,1832.924,13.831,1818,1913
304,1831.747,13.190,1816,1889
305,1833.159,12.975,1818,1900
306,1831.962,12.655,1817,1894
307,1830.566,13.202,1816,1897
308,1831.543,13.416,1816,1945
309,1832.728,13.287,1817,1901
310,1830.552,13.279,1815,1894
311,1832.644,13.219,1817,1885
312,1830.690,13.365,1815,1906
313,1831.698,13.678,1816,1885
314,1831.748,13.441,1817,1902
315,1833.368,13.007,1818,1890
316,1830.385,13.790,1816,1892
317,1830.896,13.590,1816,1907
